,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,,V55,V56,V57,V58
1,0.0090023,0.06872,0.016455,0.080642,0.016189,0.065181,0.014211,0.071052,0.013778,0.021859,0.020248,0.020329,0.020147,0.018536,0.017826,0.01823,0.019771,0.025794,0.01508,0.022786,0.018494,0.021773,0.01215,0.019895,0.018751,0.020596,0.020069,0.023691,0.028583,0.018281,0.016266,0.023899,0.029524,0.022464,0.021388,0.023467,0.02217,0.018859,0.018768,0.025431,0.023884,0.02631,0.025581,0.023188,0.022449,0.023574,0.023006,0.027088,0.025978,0.026689,0.060664,0.022501,0.061145,0.024184,0.061041,0.02564,0.067202,0.47229,0.7321
2,0.17898,0.07072,0.0052291,0.069392,0.0041271,0.065913,0.0049647,0.072086,0.0050402,0.03022,0.028436,0.02554,0.025062,0.023743,0.025484,0.028584,0.029573,0.11588,0.044368,0.099116,0.03373,0.097697,0.040859,0.11997,0.049605,0.12028,0.12923,0.10677,0.096894,0.10406,0.11995,0.14067,0.14279,0.13318,0.055376,0.10988,0.053678,0.12701,0.064552,0.15904,0.062925,0.056254,0.051956,0.051177,0.049741,0.062485,0.065346,0.064188,0.057871,0.044627,0.044811,0.045458,0.048811,0.054223,0.050085,0.0484,0.049307,0.52271,0.60583
3,0.283,0.083619,0.010581,0.066989,0.010974,0.085222,0.010784,0.06637,0.011934,0.025288,0.024718,0.025735,0.026845,0.025916,0.026341,0.025917,0.025384,0.064403,0.032538,0.062602,0.031354,0.064988,0.03347,0.069039,0.030883,0.079554,0.0669,0.067487,0.059459,0.077973,0.074923,0.070987,0.063474,0.10061,0.034546,0.080688,0.038603,0.10209,0.035365,0.085566,0.035756,0.039676,0.041597,0.042754,0.038629,0.04052,0.041552,0.04068,0.039081,0.040502,0.064978,0.038433,0.054638,0.039089,0.067124,0.039363,0.056368,0.5622,0.66349
4,0.40705,0.079418,0.019194,0.064804,0.017975,0.077744,0.021136,0.067418,0.020084,0.022829,0.022959,0.02365,0.023838,0.026873,0.024475,0.024916,0.02497,0.031119,0.026302,0.035368,0.023727,0.034979,0.028345,0.037244,0.021232,0.042635,0.041397,0.03807,0.035041,0.045197,0.049846,0.037952,0.032895,0.032631,0.030618,0.032125,0.028835,0.037471,0.033602,0.028155,0.027335,0.026207,0.025722,0.029127,0.028309,0.026849,0.028069,0.026022,0.024806,0.024191,0.076251,0.027644,0.064378,0.025689,0.074804,0.025319,0.060299,0.48579,0.71747
5,0.3597,0.070966,0.01654,0.089946,0.016819,0.074153,0.014902,0.087006,0.013602,0.025882,0.025313,0.025386,0.026392,0.024399,0.024491,0.023064,0.022618,0.039919,0.029928,0.053789,0.030573,0.039451,0.025737,0.047567,0.032705,0.049329,0.066527,0.07051,0.053972,0.042565,0.05342,0.067781,0.059689,0.050155,0.039619,0.051161,0.02925,0.042851,0.035123,0.053216,0.031438,0.031297,0.033361,0.03055,0.031587,0.029858,0.029816,0.032533,0.031383,0.031536,0.061778,0.031917,0.074768,0.028349,0.060378,0.033376,0.07698,0.50533,0.7061
6,0.38485,0.054233,0.01632,0.10702,0.01876,0.053058,0.015262,0.11045,0.019134,0.025862,0.026292,0.027948,0.027864,0.027755,0.027978,0.028778,0.026919,0.03839,0.019022,0.034761,0.040465,0.042466,0.019065,0.032486,0.036832,0.035613,0.025894,0.054941,0.068825,0.035111,0.025047,0.052254,0.065226,0.021082,0.031086,0.043408,0.039966,0.02135,0.029989,0.039997,0.036735,0.028985,0.030591,0.03016,0.028537,0.029187,0.029143,0.025374,0.0269,0.020558,0.051974,0.018225,0.10144,0.022459,0.050566,0.018275,0.10361,0.4699,0.72318
7,0.44517,0.068562,0.011158,0.067721,0.01596,0.072461,0.013114,0.068611,0.017673,0.013506,0.013103,0.014911,0.01473,0.015327,0.01534,0.016467,0.014285,0.016039,0.010822,0.016723,0.0098421,0.016854,0.01271,0.017021,0.010281,0.014095,0.01903,0.014088,0.021988,0.016444,0.021813,0.015855,0.018899,0.012558,0.015559,0.011371,0.015003,0.015345,0.015639,0.012168,0.013708,0.0165,0.016223,0.015317,0.014691,0.017541,0.016972,0.012551,0.013062,0.019377,0.07213,0.015546,0.069268,0.019671,0.06772,0.01329,0.063581,0.4916,0.71473
8,0.33552,0.068193,0.014558,0.074148,0.015234,0.066202,0.014835,0.068299,0.015323,0.030412,0.035394,0.035724,0.031279,0.028676,0.030911,0.031477,0.029133,0.090769,0.05173,0.10226,0.045505,0.080032,0.043531,0.09229,0.047169,0.098262,0.10938,0.13184,0.12048,0.087863,0.10416,0.13388,0.12306,0.096432,0.073911,0.10532,0.058868,0.077556,0.06875,0.10905,0.065413,0.053884,0.045932,0.040329,0.043553,0.045954,0.0424,0.045737,0.054804,0.036445,0.053422,0.029568,0.057006,0.031742,0.055458,0.037296,0.064621,0.4454,0.64926
9,0.17314,0.06121,0.0065968,0.047181,0.0090023,0.055064,0.0070118,0.044819,0.0081401,0.020496,0.019826,0.024076,0.022426,0.020264,0.017653,0.025372,0.021391,0.087259,0.039025,0.067265,0.025099,0.073055,0.043162,0.097433,0.021239,0.08093,0.087051,0.052795,0.065975,0.0944,0.24394,0.058308,0.052684,0.14758,0.036123,0.077982,0.039112,0.15268,0.057291,0.10919,0.037396,0.036324,0.033948,0.032503,0.031433,0.045382,0.039145,0.037676,0.03995,0.044591,0.040594,0.04369,0.029467,0.05416,0.041458,0.062633,0.032527,0.71809,0.46296
10,0.39993,0.079241,0.017147,0.088967,0.01871,0.078158,0.015782,0.078492,0.018511,0.030486,0.033968,0.035637,0.032096,0.029328,0.027521,0.032361,0.0327,0.051676,0.037131,0.043089,0.028834,0.044105,0.032065,0.038402,0.027833,0.056581,0.052396,0.040324,0.046608,0.047698,0.046697,0.03763,0.054113,0.051058,0.039951,0.036207,0.041367,0.040219,0.034123,0.037236,0.048577,0.041695,0.036802,0.032958,0.03192,0.036248,0.036183,0.035178,0.037815,0.025569,0.071408,0.019725,0.071133,0.025219,0.073176,0.023997,0.080508,0.44447,0.72642
